scenario,year,rep,pol
fit_party_cont_only,2008,2,0.5129599571228027
fit_party_cont_only,2008,3,0.5128189325332642
fit_party_cont_only,2008,4,0.512958824634552
fit_party_cont_only,2009,0,0.5131186246871948
fit_party_cont_only,2009,1,0.5134326219558716
fit_party_cont_only,2009,2,0.5133610963821411
fit_party_cont_only,2009,3,0.513272762298584
fit_party_cont_only,2009,4,0.5132260918617249
fit_party_cont_only,2010,0,0.5136942863464355
fit_party_cont_only,2010,1,0.5134533047676086
fit_party_cont_only,2010,2,0.5135283470153809
fit_party_cont_only,2010,3,0.5134599208831787
fit_party_cont_only,2010,4,0.5132673978805542
fit_party_cont_only,2011,0,0.5138463973999023
fit_party_cont_only,2011,1,0.5135593414306641
fit_party_cont_only,2011,2,0.5136927366256714
fit_party_cont_only,2011,3,0.5136072039604187
fit_party_cont_only,2011,4,0.5135964155197144
fit_party_cont_only,2012,0,0.5139232873916626
fit_party_cont_only,2012,1,0.5140603184700012
fit_party_cont_only,2012,2,0.5140849351882935
fit_party_cont_only,2012,3,0.5143264532089233
fit_party_cont_only,2012,4,0.5140634179115295
fit_party_cont_only,2013,0,0.5144048929214478
fit_party_cont_only,2013,1,0.5142318606376648
fit_party_cont_only,2013,2,0.5143688917160034
fit_party_cont_only,2013,3,0.5143709778785706
fit_party_cont_only,2013,4,0.5144147276878357
fit_party_cont_only,2014,0,0.5150259733200073
fit_party_cont_only,2014,1,0.5147030353546143
fit_party_cont_only,2014,2,0.5149177312850952
fit_party_cont_only,2014,3,0.5149250626564026
fit_party_cont_only,2014,4,0.514938235282898
fit_party_cont_only,2015,0,0.5153080224990845
fit_party_cont_only,2015,1,0.5151371955871582
fit_party_cont_only,2015,2,0.5153136849403381
fit_party_cont_only,2015,3,0.5152422189712524
fit_party_cont_only,2015,4,0.5151058435440063
fit_party_cont_only,2016,0,0.5156983137130737
fit_party_cont_only,2016,1,0.5158576369285583
fit_party_cont_only,2016,2,0.5156685709953308
fit_party_cont_only,2016,3,0.515580415725708
fit_party_cont_only,2016,4,0.5154998302459717
fit_party_cont_only,2017,0,0.5164245963096619
fit_party_cont_only,2017,1,0.516168475151062
fit_party_cont_only,2017,2,0.5162967443466187
fit_party_cont_only,2017,3,0.5162364840507507
fit_party_cont_only,2017,4,0.5160732865333557
fit_party_cont_only,2018,0,0.5168861150741577
fit_party_cont_only,2018,1,0.5168392658233643
fit_party_cont_only,2018,2,0.5167663097381592
fit_party_cont_only,2018,3,0.51686030626297
fit_party_cont_only,2018,4,0.5168101191520691
fit_party_cont_only,2019,0,0.5174190998077393
fit_party_cont_only,2019,1,0.5171067714691162
fit_party_cont_only,2019,2,0.5172860622406006
fit_party_cont_only,2019,3,0.5172961354255676
fit_party_cont_only,2019,4,0.517220139503479
fit_party_cont_only,2020,0,0.5178185701370239
fit_party_cont_only,2020,1,0.5178924798965454
fit_party_cont_only,2020,2,0.5177546739578247
fit_party_cont_only,2020,3,0.5176655650138855
fit_party_cont_only,2020,4,0.5179743766784668
fit_party_cont_only,2022,0,0.5188446044921875
fit_party_cont_only,2022,1,0.519176721572876
fit_party_cont_only,2022,2,0.5189194679260254
fit_party_cont_only,2022,3,0.5190849304199219
fit_party_cont_only,2022,4,0.5190436840057373
fit_party_cont_only,2023,0,0.5199436545372009
fit_party_cont_only,2023,1,0.5196665525436401
fit_party_cont_only,2023,2,0.5195817351341248
fit_party_cont_only,2023,3,0.5198318958282471
fit_party_cont_only,2023,4,0.5198115706443787
fit_party_cont_only,2024,0,0.5203395485877991
fit_party_cont_only,2024,1,0.5204201936721802
fit_party_cont_only,2024,2,0.5203825235366821
fit_party_cont_only,2024,3,0.5204277038574219
fit_party_cont_only,2024,4,0.5202263593673706
fit_party_both,1994,0,0.5128816366195679
fit_party_both,1994,1,0.5129073262214661
fit_party_both,1994,2,0.5128349661827087
fit_party_both,1994,3,0.5128873586654663
fit_party_both,1994,4,0.5126693248748779
fit_party_both,1995,0,0.5127884745597839
fit_party_both,1995,1,0.5124903917312622
fit_party_both,1995,2,0.5125449895858765
fit_party_both,1995,3,0.5127878189086914
fit_party_both,1995,4,0.5126186013221741
fit_party_both,1996,0,0.5124102830886841
fit_party_both,1996,1,0.5124504566192627
fit_party_both,1996,2,0.5122458934783936
fit_party_both,1996,3,0.5122988820075989
fit_party_both,1996,4,0.5124934911727905
fit_party_both,1997,0,0.51228266954422
fit_party_both,1997,1,0.512334942817688
fit_party_both,1997,2,0.5124815702438354
fit_party_both,1997,3,0.5122618675231934
fit_party_both,1997,4,0.5123248100280762
fit_party_both,1998,0,0.5121744871139526
fit_party_both,1998,1,0.512245237827301
fit_party_both,1998,2,0.5122308135032654
fit_party_both,1998,3,0.5126044154167175
fit_party_both,1998,4,0.512178897857666
fit_party_both,1999,0,0.5122422575950623
fit_party_both,1999,1,0.5121771097183228
fit_party_both,1999,2,0.512351393699646
fit_party_both,1999,3,0.5120127201080322
fit_party_both,1999,4,0.5120657682418823
fit_party_both,2000,0,0.5123220086097717
fit_party_both,2000,1,0.5119907855987549
fit_party_both,2000,2,0.5121785998344421
fit_party_both,2000,3,0.5122307538986206
fit_party_both,2000,4,0.5121520757675171
fit_party_both,2001,0,0.5122439861297607
fit_party_both,2001,1,0.512168288230896
fit_party_both,2001,2,0.5120501518249512
fit_party_both,2001,3,0.5120187997817993
fit_party_both,2001,4,0.5121524930000305
fit_party_both,2002,0,0.5121357440948486
fit_party_both,2002,1,0.5120326280593872
fit_party_both,2002,2,0.5123947858810425
fit_party_both,2002,3,0.5122840404510498
fit_party_both,2002,4,0.5121836066246033
fit_party_both,2003,0,0.512320876121521
fit_party_both,2003,1,0.5123822093009949
fit_party_both,2003,2,0.5124044418334961
fit_party_both,2003,3,0.5122807025909424
fit_party_both,2003,4,0.5122206211090088
fit_party_both,2004,0,0.5123531818389893
fit_party_both,2004,1,0.5123257637023926
fit_party_both,2004,2,0.5122941732406616
fit_party_both,2004,3,0.5123293399810791
fit_party_both,2004,4,0.5124568939208984
fit_party_both,2005,0,0.5124559998512268
fit_party_both,2005,1,0.5125541090965271
fit_party_both,2005,2,0.5126069188117981
fit_party_both,2005,3,0.512274980545044
fit_party_both,2005,4,0.5124176144599915
fit_party_both,2006,0,0.5127198100090027
fit_party_both,2006,1,0.5125967264175415
fit_party_both,2006,2,0.5127727389335632
fit_party_both,2006,3,0.5124688148498535
fit_party_both,2006,4,0.5125829577445984
fit_party_both,2007,0,0.5129373073577881
fit_party_both,2007,1,0.5129222869873047
fit_party_both,2007,2,0.5129472613334656
fit_party_both,2007,3,0.5129896402359009
fit_party_both,2007,4,0.5126785039901733
fit_party_both,2008,0,0.5127581357955933
fit_party_both,2008,1,0.5130264759063721
fit_party_both,2008,2,0.5130169987678528
fit_party_both,2008,3,0.5133035182952881
fit_party_both,2008,4,0.512988269329071
fit_party_both,2009,0,0.5131212472915649
fit_party_both,2009,1,0.5134977102279663
fit_party_both,2009,2,0.5134987831115723
fit_party_both,2009,3,0.5133835077285767
fit_party_both,2009,4,0.5133750438690186
fit_party_both,2010,0,0.5134510397911072
fit_party_both,2010,1,0.513616681098938
fit_party_both,2010,2,0.5134705305099487
fit_party_both,2010,3,0.5135089159011841
fit_party_both,2010,4,0.5137484073638916
fit_party_both,2011,0,0.5137361288070679
fit_party_both,2011,1,0.5138270258903503
fit_party_both,2011,2,0.5141942501068115
fit_party_both,2011,3,0.5138281583786011
fit_party_both,2011,4,0.5136990547180176
fit_party_both,2012,0,0.5141786336898804
fit_party_both,2012,1,0.514317512512207
fit_party_both,2012,2,0.5143992900848389
fit_party_both,2012,3,0.5145572423934937
fit_party_both,2012,4,0.514316976070404
fit_party_both,2013,0,0.5147035717964172
fit_party_both,2013,1,0.5145795345306396
fit_party_both,2013,2,0.5148088335990906
fit_party_both,2013,3,0.5148091912269592
fit_party_both,2013,4,0.5146925449371338
fit_party_both,2014,0,0.5149492025375366
fit_party_both,2014,1,0.5151076316833496
fit_party_both,2014,2,0.5151861906051636
fit_party_both,2014,3,0.5152308344841003
fit_party_both,2014,4,0.5152605772018433
fit_party_both,2015,0,0.5153131484985352
fit_party_both,2015,1,0.515434741973877
fit_party_both,2015,2,0.5152813792228699
fit_party_both,2015,3,0.5154067277908325
fit_party_both,2015,4,0.5153473615646362
fit_party_both,2016,0,0.5159714221954346
fit_party_both,2016,1,0.5158950090408325
fit_party_both,2016,2,0.5161341428756714
fit_party_both,2016,3,0.5159401893615723
fit_party_both,2016,4,0.5159664154052734
fit_party_both,2017,0,0.5163756608963013
fit_party_both,2017,1,0.5167340636253357
fit_party_both,2017,2,0.5165212154388428
fit_party_both,2017,3,0.5164967775344849
fit_party_both,2017,4,0.5164293050765991
fit_party_both,2018,0,0.5172302722930908
fit_party_both,2018,1,0.517144501209259
fit_party_both,2018,2,0.5171196460723877
fit_party_both,2018,3,0.5169585943222046
fit_party_both,2018,4,0.5169466733932495
fit_party_both,2019,0,0.5176898241043091
fit_party_both,2019,1,0.5174301266670227
fit_party_both,2019,2,0.5174526572227478
fit_party_both,2019,3,0.517358660697937
fit_party_both,2019,4,0.5174777507781982
fit_party_both,2020,0,0.5181366801261902
fit_party_both,2020,1,0.5180920958518982
fit_party_both,2020,2,0.5179055333137512
fit_party_both,2020,3,0.518035888671875
fit_party_both,2020,4,0.5180668830871582
fit_party_both,2022,0,0.519510805606842
fit_party_both,2022,1,0.5196782350540161
fit_party_both,2022,2,0.5196489095687866
fit_party_both,2022,3,0.5191859602928162
fit_party_both,2022,4,0.5193315744400024
fit_party_both,2023,0,0.5202796459197998
fit_party_both,2023,1,0.5200046896934509
fit_party_both,2023,2,0.5202078223228455
fit_party_both,2023,3,0.5198768973350525
fit_party_both,2023,4,0.5200073719024658
fit_party_both,2024,0,0.5209043025970459
fit_party_both,2024,1,0.5205954313278198
fit_party_both,2024,2,0.5211035013198853
fit_party_both,2024,3,0.5206937789916992
fit_party_both,2024,4,0.5205750465393066
